Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-36.042,3, 0.4185227,0.043827,15084, Foreign,
12-21-2022-22-27-36.448,3, 0.0985643,0.031685,15084, Foreign,
12-21-2022-22-27-36.142,3, 0.4142964,0.03863,15084, Foreign,
12-21-2022-22-27-36.849,3, 0.1119194,0.036379,15084, Foreign,
12-21-2022-22-27-32.910,3, 4.1391811,0.035998,6348, Foreign,
12-21-2022-22-27-37.050,3, 0.1140116,0.040098,15084, Foreign,
12-21-2022-22-27-36.949,3, 0.3881983,0.036051,15084, Foreign,
12-21-2022-22-27-37.256,3, 0.09564,0.032771,15084, Foreign,
12-21-2022-22-27-35.938,3, 1.4823125,0.034459,6348, Foreign,
12-21-2022-22-27-37.357,3, 0.122335,0.040922,15084, Foreign,
12-21-2022-22-27-37.152,3, 0.4106456,0.032312,15084, Foreign,
12-21-2022-22-27-37.458,3, 0.1081706,0.034225,15084, Foreign,
12-21-2022-22-27-36.548,3, 1.1014062,0.030532,6348, Foreign,
12-21-2022-22-27-36.347,3, 1.3927423,0.036848,6348, Foreign,
12-21-2022-22-27-36.648,3, 1.1139138,0.038352,6348, Foreign,
12-21-2022-22-27-37.659,3, 0.1166411,0.034817,15084, Foreign,
12-21-2022-22-27-36.748,3, 1.1159312,0.035084,6348, Foreign,
12-21-2022-22-27-37.558,3, 0.3498515,0.031046,15084, Foreign,
12-21-2022-22-27-37.964,3, 0.122353,0.040395,15084, Foreign,
12-21-2022-22-27-38.165,3, 0.1098745,0.035435,15084, Foreign,
12-21-2022-22-27-38.266,3, 0.1342765,0.035061,15084, Foreign,
12-21-2022-22-27-38.368,3, 0.1209789,0.041681,15084, Foreign,
12-21-2022-22-27-38.064,3, 0.5529048,0.039188,15084, Foreign,
12-21-2022-22-27-38.670,3, 0.1203407,0.039567,15084, Foreign,
12-21-2022-22-27-33.615,3, 5.1824375,0.037403,6348, Foreign,
12-21-2022-22-27-37.760,3, 1.1244918,0.039802,6348, Foreign,
12-21-2022-22-27-37.864,3, 1.1252954,0.039836,6348, Foreign,
12-21-2022-22-27-38.872,3, 0.1181974,0.040327,15084, Foreign,
12-21-2022-22-27-38.972,3, 0.1081735,0.032687,15084, Foreign,
12-21-2022-22-27-38.772,3, 0.4323854,0.041554,15084, Foreign,
